,Unnamed: 0,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y,Angle,Distance,Colour,ScoredBinary
126,126,west-ham,09/08/2015,0,6,115,115,Missed,arsenal,41.536,-29.057999999999993,0.6104479917863669,50.691287811615126,r,0.0
127,127,west-ham,09/08/2015,0,6,1581,1581,Missed,arsenal,61.24800000000001,54.77600000000001,0.7296743495017823,82.16889727871491,r,0.0
128,128,west-ham,09/08/2015,0,6,1581,1581,Missed,arsenal,69.76,42.418000000000006,0.5463221234300539,81.64400972514763,r,0.0
129,129,arsenal,09/08/2015,0,6,10560,10560,Missed,west-ham,118.592,-60.78800000000001,0.4736616380148977,133.26381132175382,r,0.0
130,130,arsenal,09/08/2015,0,6,15035,15035,Missed,west-ham,86.336,-83.834,0.7706962786226614,120.34136633759815,r,0.0
131,131,arsenal,09/08/2015,0,6,2725,2725,Missed,west-ham,85.44,42.418000000000006,0.4608158975661478,95.39014793992092,r,0.0
132,132,arsenal,09/08/2015,0,6,1103,1103,Missed,west-ham,121.28,22.377999999999986,0.18246294125869605,123.32726091177084,r,0.0
133,133,arsenal,09/08/2015,0,6,2725,2725,Scored,west-ham,123.968,-58.116000000000014,0.4383762398060886,136.9143326317592,b,1.0
134,134,arsenal,09/08/2015,0,6,15035,15035,Missed,west-ham,53.184,51.77000000000001,0.7719264095095645,74.22042007426259,r,0.0
135,135,arsenal,09/08/2015,0,6,924,924,Missed,west-ham,138.752,-2.0039999999999907,0.014442030902583334,138.76647116648894,r,0.0
136,136,newcastle,15/08/2015,1,13,1174,1174,Scored,swansea,46.01600000000001,9.352000000000004,0.20050290392006706,46.956705165503266,b,1.0
137,137,newcastle,15/08/2015,1,13,1174,1174,Missed,swansea,82.75200000000002,14.027999999999992,0.16792220420814205,83.93258180230133,r,0.0
138,138,newcastle,15/08/2015,1,13,1174,1174,Missed,swansea,47.808,6.680000000000007,0.13882677573827232,48.27242757516966,r,0.0
139,139,newcastle,15/08/2015,0,13,523,523,Missed,swansea,103.808,-71.81,0.6051728817648537,126.22510433348829,r,0.0
140,140,newcastle,15/08/2015,0,13,863,863,Missed,swansea,121.728,11.022000000000048,0.0902998952161187,122.2259811496721,r,0.0
141,141,newcastle,15/08/2015,0,13,863,863,Missed,swansea,82.304,-30.060000000000002,0.3501789809371073,87.62164125374507,r,0.0
142,142,newcastle,15/08/2015,0,13,1155,1155,Scored,swansea,53.184,16.69999999999999,0.30425466602943285,55.74430783497091,b,1.0
143,143,newcastle,15/08/2015,0,13,863,863,Missed,swansea,127.104,-5.677999999999997,0.044642399298380764,127.23076082457418,r,0.0
144,144,newcastle,15/08/2015,0,13,523,523,Missed,swansea,132.928,43.75399999999999,0.31798592372184825,139.94379478919384,r,0.0
145,145,newcastle,15/08/2015,0,13,863,863,Missed,swansea,119.488,-32.732,0.2673762455278819,123.89013668569423,r,0.0
146,146,newcastle,15/08/2015,0,13,523,523,Missed,swansea,153.984,-4.00800000000001,0.026022802617901453,154.03615263956706,r,0.0
147,147,newcastle,15/08/2015,0,13,6788,6788,Missed,swansea,108.736,59.786,0.5027104597234645,124.08820851313794,r,0.0
